sample_ID,,Hyper.MS1,Hyper.MS2,Hyper.MS3,Hypo.MS1,Hypo.MS2,Hypo.MS3,Hypo.MS4,Hypo.MS5,Hypo.MS6,Hypo.MS7,cancertype
TCGA-UF-A7JF,,1732.919721,10.15679672,34.17928198,21.38348067,2.21E-11,0.000295109,1458.5368,6.83E-05,49.8317159,0.001539674,HNSC
TCGA-CN-4731,,1658.875927,0.00571025,32.40776297,29.42539801,0.000700354,0.000116841,1187.854804,48.73089374,176.3733945,0.245892479,HNSC
TCGA-CN-A63W,,1270.892526,193.4162539,2.03E-05,8.421757962,1.39E-10,7.55E-16,1062.840021,2.28E-06,0.776318928,1.05E-10,HNSC
TCGA-T2-A6X2,,1725.800034,166.8283077,41.8628587,8.20E-12,2.21E-06,1.55E-16,1575.414376,9.14E-06,88.78722182,9.11E-05,HNSC
TCGA-CN-A63U,,1327.362379,0.895927468,27.17649376,135.4889002,0.003067813,0.001790735,1081.885296,1.597143122,63.70040139,66.01240061,HNSC
TCGA-BB-A6UM,,1951.427787,1.067308199,43.86460518,82.963265,4.34E-22,1.12E-12,989.4983327,3.81E-17,1.15E-21,0.000102318,HNSC
TCGA-H7-A6C5,,1663.710109,1.555208904,12.86788232,1.114244446,9.29E-09,0.004513271,1288.063843,0.902063527,139.3079197,1.59E-05,HNSC
TCGA-CN-4741,,2020.648448,0.035903348,57.37024888,1.55E-35,4.23E-16,3.71E-07,1822.975448,8.23E-06,262.3391458,1.265597228,HNSC
TCGA-BB-7866,,1882.765612,87.09480449,67.48728339,1.34E-41,7.22E-19,1.51E-24,1640.271858,7.52E-08,235.444642,1.19E-19,HNSC
TCGA-BB-4224,,1737.901071,133.5999575,1.756671754,2.12E-21,2.93E-17,6.32E-20,1211.1444,1.61E-15,4.20E-10,1.24E-20,HNSC
TCGA-HD-A6I0,,1618.086175,206.9128771,40.07974777,4.619018847,0.003682809,1.02E-13,1475.446068,0.008281716,77.51211593,0.777232232,HNSC
TCGA-UF-A71A,,1777.303535,64.54343804,1.339226986,145.2012266,2.21E-05,256.229866,1203.641787,79.06348564,0.007830266,171.3883823,HNSC
TCGA-CV-7430,,1728.254374,82.95105341,8.215372578,1.32E-37,2.97E-16,0.005092599,1835.032286,5.78E-06,222.6302642,0.473151228,HNSC
TCGA-CN-A6V6,,1645.934754,61.75585483,24.83839144,0.695405282,1.47E-10,0.000117355,1494.533488,0.000209917,21.43012661,0.000152753,HNSC
TCGA-F7-7848,,1358.310261,126.7510953,10.52204411,93.91177979,1.05E-05,0.000111518,1280.020561,2.349275667,74.08156613,0.001748549,HNSC
TCGA-TN-A7HI,,2076.452063,16.56215606,93.18478083,279.3537365,1.04E-08,351.3611651,1262.532472,1.25E-10,1.96E-15,1.872526631,HNSC
TCGA-UF-A7JC,,1653.748297,223.9585692,3.689034091,4.79E-80,6.75E-36,1.42E-54,1588.62253,1.70E-21,0.012669556,4.07E-36,HNSC
TCGA-D6-A6ES,,1556.85313,206.4986253,14.47144512,10.20556816,1.12E-07,2.98E-17,1271.894503,3.53E-05,4.982236973,14.30375662,HNSC
TCGA-BA-A6D8,,1706.304148,29.13288555,33.43836644,87.59854648,7.86E-08,148.68079,1370.655752,1.016771338,0.000576365,116.0407638,HNSC
TCGA-P3-A6T4,,1099.060275,364.6921254,8.83E-09,0.000213118,4.31E-07,0.000171652,1389.531543,0.024377666,189.1531164,0.000178062,HNSC
TCGA-RS-A6TP,,1985.721836,6.22E-07,77.31563928,64.15251966,5.43E-21,3.00E-07,932.1187562,4.76E-22,4.09E-18,4.71E-15,HNSC
TCGA-UF-A7JK,,1734.24966,29.77872447,45.77601602,6.09E-17,8.00E-11,1.20E-10,1314.34519,0.155547429,11.82804413,28.44011881,HNSC
TCGA-UP-A6WW,,2021.555439,1.30E-09,37.60516063,0.007935816,2.34E-13,63.22087964,1444.501664,0.002777648,0.025108225,135.8429346,HNSC
TCGA-CV-7437,,1840.516129,76.42155665,55.87121466,50.88786258,0.000182003,25.82952913,1498.001313,0.034509684,0.303133141,86.62557008,HNSC
TCGA-CV-A6JD,,1650.067848,169.6949335,35.44481888,1.06E-45,4.42E-19,2.49E-36,1643.838112,6.70E-08,69.62611502,1.75E-24,HNSC
TCGA-CV-7446,,843.1522501,396.0605499,2.27E-13,7.08E-11,2.31E-23,119.075328,1341.666394,8.95E-14,1.29E-05,128.9498651,HNSC
TCGA-CV-7432,,1678.156066,127.2266006,66.83293351,6.94E-18,2.45E-08,3.51E-19,1461.013642,3.81E-05,209.15602,1.28E-14,HNSC
TCGA-CV-7434,,1902.212558,142.0868546,49.61398763,2.78E-56,2.59E-20,1.16E-32,1845.768213,1.15E-12,121.6359871,1.90E-24,HNSC
TCGA-CV-7428,,1668.57355,44.26247593,28.99467395,52.87100556,0.004408254,3.60E-09,1395.213439,0.388916561,109.8389301,5.34E-08,HNSC
TCGA-HD-7832,,1947.364032,96.48208385,64.49948464,2.40E-31,1.64E-17,9.77E-30,1423.353327,1.94E-09,7.34E-05,3.73E-12,HNSC
TCGA-P3-A6SX,,1516.615429,149.1580073,26.33626344,0.000315163,0.021586573,1.87E-06,1303.127508,37.72714494,94.94345599,35.57958747,HNSC
TCGA-QK-A6IG,,1618.123487,121.5643973,35.14961598,49.1252024,0.000391007,5.83E-10,1236.707138,0.125957985,74.28675664,0.023553678,HNSC
TCGA-CV-A6JM,,1351.678681,159.2773895,0.39992902,5.43E-16,1.16E-11,9.69E-24,1264.429055,5.726719622,41.31803876,2.812986557,HNSC
TCGA-D6-A6EQ,,1503.940738,180.4478277,50.93663425,0.002208812,5.74E-06,5.43E-07,1442.507642,0.000320633,83.96946798,0.000154674,HNSC
TCGA-P3-A6T0,,1350.400634,195.5716123,23.38025386,11.06717023,3.87E-05,3.62E-13,1153.432256,17.17891925,82.49986368,4.4148518,HNSC
TCGA-CV-A6JE,,1569.642047,51.53233357,54.91191947,4.339692483,0.000335774,1.48E-06,1109.876567,91.75497264,83.19021656,0.00291381,HNSC
TCGA-QK-A6II,,1522.931901,207.7277144,47.22918461,3.26E-26,1.96E-11,5.12E-22,1645.373413,1.96E-06,263.1073853,7.01E-14,HNSC
TCGA-UF-A719,,1356.808584,115.6957042,1.592211722,141.1797341,6.04E-17,1.28E-08,876.9366912,1.33E-09,1.33E-09,0.203974715,HNSC
TCGA-CR-7368,,1792.258474,19.01654422,35.49028145,1.88E-11,3.11E-13,1.76E-09,1477.027709,3.89E-10,6.09E-05,23.01752965,HNSC
TCGA-UF-A7JH,,1658.919612,8.648140471,29.6601479,1.59E-06,1.01E-10,1.68E-12,1347.151566,0.000108176,19.95532389,1.68E-10,HNSC
TCGA-T2-A6WZ,,1680.187726,115.9617971,54.05947734,1.91E-17,5.43E-11,0.002404082,1701.166901,0.040322194,60.71627202,3.81E-07,HNSC
TCGA-D6-A6EO,,1482.265929,0.017749133,34.38872137,62.8999375,2.21E-07,0.456820429,1272.71318,0.005042846,13.41399805,0.010620604,HNSC
TCGA-CR-7370,,1172.474358,305.582042,7.89E-08,260.8032825,7.46E-09,140.9529539,872.6383615,1.27E-06,2.17E-16,134.6945008,HNSC
TCGA-P3-A6T5,,1505.381675,73.8872454,20.19047968,9.76E-14,2.60E-09,6.68E-12,1487.326568,1.075587595,113.2219699,6.155274086,HNSC
TCGA-D6-A74Q,,1610.310832,5.03E-05,5.898817203,9.06E-09,4.30E-09,1.17E-08,1379.517618,5.01E-05,154.2098036,5.34E-07,HNSC
TCGA-QK-A6IH,,1525.857584,150.7338543,13.76536209,0.005047294,7.13E-13,8.90E-18,1172.041745,0.000284311,0.017540919,0.265282539,HNSC
TCGA-CV-A6K1,,1440.840916,159.7865916,2.621591878,30.0176992,0.068499499,1.54E-10,1238.629826,0.003258128,84.40977181,38.07624487,HNSC
TCGA-BA-A6DE,,1526.586052,64.22319806,31.0962504,60.68599496,0.002024093,5.89E-07,1211.479818,0.000420517,97.55622014,0.001421821,HNSC
TCGA-WA-A7GZ,,1276.076306,130.6955918,8.19360215,9.75E-09,5.39E-06,5.22E-13,1268.809208,55.06137387,163.5213158,40.84229689,HNSC
TCGA-CV-7440,,1325.597845,161.0513447,10.53421065,118.2501365,0.005042552,1.84E-09,1164.058191,0.004308402,119.9606525,0.058069398,HNSC
TCGA-D6-A6EP,,1251.663404,219.3060963,8.20E-09,59.7956968,0.001353844,478.9011856,1358.403139,76.01300126,13.11023813,181.5546388,HNSC
TCGA-B0-5113,,376.877902,876.200246,19.980852,224.607312,1.67E-07,1.40E-05,189.777629,56.34673382,1504.047849,0.0015617,KIRC
TCGA-BP-5181,,180.6983111,778.229319,0.28456987,103.5526681,0.000295492,79.97749655,197.1800446,13.23937092,2004.390945,0.003678967,KIRC
TCGA-MM-A564,,755.2561272,594.2848449,51.59562789,0.810687616,1.43E-07,5.22E-10,456.1128257,116.2173219,1445.555806,37.49505829,KIRC
TCGA-CZ-5459,,287.8676803,734.2313587,14.89556095,1.05E-41,5.77E-18,4.84E-35,383.9009568,2.99E-07,1925.896543,2.70E-27,KIRC
TCGA-AK-3434,,1175.36855,380.5524088,83.94704135,56.86614534,1.26E-08,5.37E-07,143.0788762,58.0863364,1695.302257,7.850784158,KIRC
TCGA-B4-5377,,312.326961,900.8838917,0.098447258,191.1975209,4.753402147,17.08346701,102.9888164,71.46045125,1932.190904,10.54553825,KIRC
TCGA-G6-A8L6,,193.2494642,989.6057164,2.161519422,106.1325961,2.84E-05,0.831008774,315.5548867,15.49441991,1926.139054,15.79750639,KIRC
TCGA-A3-A6NI,,2.43E-13,936.6251,3.28E-19,3.40E-37,1.41E-17,8.31E-32,189.5678479,2.16E-07,2053.674452,3.35E-23,KIRC
TCGA-BP-5201,,819.0864831,581.6164332,40.42978367,20.31978189,3.38E-08,5.29E-10,304.0538493,4.02546028,1572.375508,5.28E-07,KIRC
TCGA-B0-4849,,312.9591778,844.2779048,3.911317408,1.057037719,0.097956034,0.000538632,331.0948096,18.58366546,2143.114879,0.013713225,KIRC
TCGA-BP-5180,,689.1976927,701.4719199,49.81278746,2.16E-67,9.18E-28,7.95E-53,87.46118525,3.34E-10,2094.907215,6.44E-35,KIRC
TCGA-CZ-5984,,691.9083166,608.9678368,36.5222466,1.74E-41,1.27E-19,1.99E-36,401.3200827,7.90E-07,1881.033189,1.51E-26,KIRC
TCGA-BP-5190,,586.626228,764.7099912,14.11898075,67.03013218,1.86E-10,5.81E-11,265.8242703,10.84143852,1881.01999,0.058768835,KIRC
TCGA-B0-4841,,76.92366012,961.5033972,3.919842667,40.64072977,1.68E-11,4.93E-05,87.7152936,0.066041229,1995.834786,1.84E-08,KIRC
TCGA-B8-5546,,2.03E-35,835.1313981,5.18E-45,335.828305,12.64572225,218.7536423,6.27370796,39.48521816,2197.17947,4.502295147,KIRC
TCGA-B0-5699,,767.7098611,668.7666587,61.38818014,118.7441678,1.14E-10,0.01590352,138.1454594,0.031388096,1995.700078,2.78E-06,KIRC
TCGA-BP-5202,,387.4560753,789.4447712,15.60245358,9.705643835,7.32E-07,6.42E-10,200.1458558,0.035525827,2092.284474,1.49E-08,KIRC
TCGA-B0-4814,,838.6386163,519.6563555,79.68222813,105.9944688,3.31E-07,2.9926501,232.3538028,2.261551597,1774.007285,0.120441639,KIRC
TCGA-B0-4821,,1474.344808,288.3181104,62.17578124,6.11E-37,3.06E-22,3.88E-34,626.2105767,2.29E-07,1366.869223,1.35E-20,KIRC
TCGA-B0-5712,,830.2485207,615.2063803,49.64659901,1.19E-22,1.54E-12,1.17E-18,219.0542061,0.000166571,1912.305627,1.70E-11,KIRC
TCGA-B0-5695,,385.5195971,872.8070026,57.1083003,532.3644464,0.007465406,122.6778694,9.702364975,75.64871477,1050.207223,31.31701591,KIRC
TCGA-B2-A4SR,,108.206572,797.7753279,1.45E-07,13.90249346,9.52E-06,0.042003804,388.1807528,92.71934638,1690.534912,0.274681624,KIRC
TCGA-CJ-4920,,797.9654481,613.5494454,56.51070651,43.14098357,9.63E-06,0.002128883,439.5428336,3.068137967,1804.774969,0.022037563,KIRC
TCGA-B0-5100,,1264.588676,149.8785259,41.6844981,2.61E-70,1.17E-21,7.89E-42,599.7419156,0.067745173,1870.352739,8.54E-23,KIRC
TCGA-CJ-4903,,184.6913956,937.543804,4.80E-07,186.9465772,1.20E-09,2.05E-10,284.1455238,0.152029356,1448.852568,1.19E-06,KIRC
TCGA-CJ-4912,,840.5278185,580.5559577,14.50942381,2.22E-54,7.13E-33,6.45E-41,352.9428766,1.86E-14,1463.691823,1.37E-33,KIRC
TCGA-B0-4845,,830.3579634,635.4019107,59.72012591,53.56753822,9.18E-12,0.009224171,62.29051057,0.01282017,1834.002807,3.97E-08,KIRC
TCGA-BP-4770,,337.195137,608.312163,1.45E-14,167.0695303,2.78E-09,3.52E-20,1006.883455,19.17373329,105.7105988,77.23688237,KIRC
TCGA-CJ-5683,,84.37770255,944.5809639,0.000133509,32.84059041,0.103114567,0.026414856,236.8973341,7.097717493,2190.000067,0.045761951,KIRC
TCGA-B0-5703,,732.0542569,693.4928005,46.64994252,152.882331,0.065301378,0.0001718,402.6096951,1.716713299,1865.95728,7.05E-06,KIRC
TCGA-B0-5102,,115.581866,970.6653417,0.025292373,345.8462231,4.67E-05,35.21378866,58.32383929,2.605917715,1574.583684,3.81E-07,KIRC
TCGA-CW-5585,,332.3596242,773.2773355,37.30274034,291.7041229,0.127627915,37.77503907,2.558306652,42.35637523,1569.516689,3.97E-05,KIRC
TCGA-B0-5115,,442.1716363,801.4583685,10.66979517,129.7115311,0.002748631,8.45E-07,195.9776045,36.48685119,1926.513912,0.010552095,KIRC
TCGA-B0-4706,,443.42002,769.2415626,7.212217372,45.50065012,1.27E-05,0.028050807,255.3795085,1.288471686,1890.078474,0.004232508,KIRC
TCGA-CZ-5463,,479.3022346,741.7674733,20.7261921,5.35E-20,9.66E-12,4.49E-16,216.0603048,5.80E-06,1980.217589,2.84E-14,KIRC
TCGA-DV-5568,,43.13282153,1007.744778,4.48E-10,167.7379384,4.81E-08,3.90E-06,358.3968036,0.193052669,1416.540735,0.000166728,KIRC
